onset	duration	sample	unit_id	event_type
5.1196	0.0	10485	0	motor-unit-spike
5.541	0.0	11348	1	motor-unit-spike
6.2251	0.0	12749	3	motor-unit-spike
6.3779	0.0	13062	0	motor-unit-spike
6.6592	0.0	13638	0	motor-unit-spike
7.0649	0.0	14469	4	motor-unit-spike
7.1636	0.0	14671	0	motor-unit-spike
7.2192	0.0	14785	4	motor-unit-spike
7.2729	0.0	14895	1	motor-unit-spike
7.4062	0.0	15168	3	motor-unit-spike
7.4951	0.0	15350	1	motor-unit-spike
7.5801	0.0	15524	4	motor-unit-spike
7.6172	0.0	15600	0	motor-unit-spike
7.6699	0.0	15708	5	motor-unit-spike
7.937	0.0	16255	4	motor-unit-spike
7.9653	0.0	16313	5	motor-unit-spike
8.1323	0.0	16655	7	motor-unit-spike
8.2856	0.0	16969	4	motor-unit-spike
8.5312	0.0	17472	6	motor-unit-spike
8.5977	0.0	17608	8	motor-unit-spike
8.7095	0.0	17837	8	motor-unit-spike
8.9775	0.0	18386	8	motor-unit-spike
8.9834	0.0	18398	4	motor-unit-spike
9.0864	0.0	18609	7	motor-unit-spike
9.1372	0.0	18713	1	motor-unit-spike
9.2002	0.0	18842	8	motor-unit-spike
9.3071	0.0	19061	5	motor-unit-spike
9.4688	0.0	19392	5	motor-unit-spike
9.4814	0.0	19418	7	motor-unit-spike
9.4839	0.0	19423	3	motor-unit-spike
9.4863	0.0	19428	1	motor-unit-spike
9.5303	0.0	19518	4	motor-unit-spike
9.5361	0.0	19530	1	motor-unit-spike
9.623	0.0	19708	0	motor-unit-spike
9.6548	0.0	19773	8	motor-unit-spike
9.6694	0.0	19803	1	motor-unit-spike
9.7046	0.0	19875	8	motor-unit-spike
9.7329	0.0	19933	3	motor-unit-spike
9.7773	0.0	20024	0	motor-unit-spike
9.812	0.0	20095	7	motor-unit-spike
9.8662	0.0	20206	6	motor-unit-spike
9.8672	0.0	20208	8	motor-unit-spike
9.8896	0.0	20254	2	motor-unit-spike
9.894	0.0	20263	3	motor-unit-spike
9.917	0.0	20310	8	motor-unit-spike
9.9468	0.0	20371	4	motor-unit-spike
10.0093	0.0	20499	6	motor-unit-spike
10.0244	0.0	20530	9	motor-unit-spike
10.1357	0.0	20758	6	motor-unit-spike
10.1396	0.0	20766	4	motor-unit-spike
10.1895	0.0	20868	4	motor-unit-spike
10.2197	0.0	20930	9	motor-unit-spike
10.2207	0.0	20932	2	motor-unit-spike
10.2695	0.0	21032	9	motor-unit-spike
10.2881	0.0	21070	7	motor-unit-spike
10.3125	0.0	21120	2	motor-unit-spike
10.3877	0.0	21274	3	motor-unit-spike
10.3936	0.0	21286	6	motor-unit-spike
10.4072	0.0	21314	4	motor-unit-spike
10.4204	0.0	21341	2	motor-unit-spike
10.519	0.0	21543	8	motor-unit-spike
10.5825	0.0	21673	8	motor-unit-spike
10.5845	0.0	21677	3	motor-unit-spike
10.5874	0.0	21683	9	motor-unit-spike
10.6777	0.0	21868	5	motor-unit-spike
10.7539	0.0	22024	9	motor-unit-spike
10.8052	0.0	22129	3	motor-unit-spike
10.8062	0.0	22131	0	motor-unit-spike
10.8149	0.0	22149	8	motor-unit-spike
10.8462	0.0	22213	5	motor-unit-spike
11.002	0.0	22532	0	motor-unit-spike
11.0557	0.0	22642	8	motor-unit-spike
11.0752	0.0	22682	4	motor-unit-spike
11.1362	0.0	22807	5	motor-unit-spike
11.166	0.0	22868	3	motor-unit-spike
11.2593	0.0	23059	7	motor-unit-spike
11.3159	0.0	23175	5	motor-unit-spike
11.3657	0.0	23277	5	motor-unit-spike
11.5259	0.0	23605	3	motor-unit-spike
11.5439	0.0	23642	9	motor-unit-spike
11.5757	0.0	23707	3	motor-unit-spike
11.603	0.0	23763	2	motor-unit-spike
11.6899	0.0	23941	7	motor-unit-spike
11.79	0.0	24146	6	motor-unit-spike
11.8091	0.0	24185	7	motor-unit-spike
11.8511	0.0	24271	3	motor-unit-spike
11.8589	0.0	24287	7	motor-unit-spike
11.8652	0.0	24300	5	motor-unit-spike
11.915	0.0	24402	5	motor-unit-spike
11.9482	0.0	24470	4	motor-unit-spike
11.957	0.0	24488	6	motor-unit-spike
12.0356	0.0	24649	2	motor-unit-spike
12.0981	0.0	24777	2	motor-unit-spike
12.1504	0.0	24884	6	motor-unit-spike
12.1704	0.0	24925	4	motor-unit-spike
12.1987	0.0	24983	9	motor-unit-spike
12.2163	0.0	25019	7	motor-unit-spike
12.2339	0.0	25055	8	motor-unit-spike
12.2603	0.0	25109	3	motor-unit-spike
12.3013	0.0	25193	4	motor-unit-spike
12.3291	0.0	25250	7	motor-unit-spike
12.3833	0.0	25361	1	motor-unit-spike
12.3848	0.0	25364	9	motor-unit-spike
12.4131	0.0	25422	4	motor-unit-spike
12.4282	0.0	25453	8	motor-unit-spike
12.4346	0.0	25466	9	motor-unit-spike
12.4609	0.0	25520	0	motor-unit-spike
12.4897	0.0	25579	6	motor-unit-spike
12.5615	0.0	25726	1	motor-unit-spike
